dataset,method,evaluation_protocol,alignment,frames_total,eval_frames,ATE_RMSE_m,RPE_RMSE_m_gap20,final_error_m,mean_error_m,median_error_m,max_error_m,scale,path_length_raw_m,runtime_s,runtime_per_frame_s,success_rate_percent,failure_count
room2,Monocular VO baseline,room2_full_gt_ate_rpe,Sim(3),2882,2881,1.2171632665026837,0.9446231573670155,0.2769952052057978,1.1586514111567159,1.255100402077795,1.7642987132437151,0.005149953403297764,2811.9999999999627,75.46014142036438,0.026183255177086875,97.6049982644915,69
room2,Stereo VO baseline,room2_full_gt_ate_rpe,SE(3),2882,2881,0.9438606919564613,0.3388495974854411,1.0480498413294677,0.836957056025675,0.7786681559061401,2.1273823168281107,1.0,143.30945427623058,137.38356828689575,0.047669524041254595,99.44463727872267,16
