frame,matches,corr_3d2d,inliers,success,pnp_success,pnp_inliers,t_norm,rot_angle,reproj_rmse
114,200,194,163,True,True,163,0.01765762442201419,1.2003004804770045,0.909156114941782
115,200,194,150,True,True,150,0.028685168813567707,0.9009041006334592,0.837821364610352
116,200,197,166,True,True,166,0.013314296440151857,0.45580202143305143,0.92992725622191
117,200,200,174,True,True,174,0.022222907106084277,0.5546074278176171,0.8162382656027986
118,200,200,174,True,True,174,0.028502489046316574,0.8214292797867624,0.8555624068176817
119,200,200,174,True,True,174,0.028595447820449416,1.0742806447673403,0.8118354391919914
120,200,200,177,True,True,177,0.0263041225924891,1.294678031231476,0.7064057466348764
121,200,200,174,True,True,174,0.02136906398495736,1.274990736658691,0.680078245542674
122,200,200,175,True,True,175,0.012558915704651239,1.2185655346773445,0.8593759008600667
123,200,200,168,True,True,168,0.009972084617405513,0.5268109585841039,0.7559306146741127
124,200,200,177,True,True,177,0.016336691769535047,0.5746389404663403,0.9195471740604237
125,200,200,172,True,True,172,0.022622609540154895,1.6556357339196466,0.8903888706602742
126,200,200,174,True,True,174,0.027290672505410663,2.5403328615694787,0.840536624195834
127,200,199,162,True,True,162,0.041427184389136576,1.874481367417456,0.8745884150842926
128,200,199,176,True,True,176,0.04810159699459068,1.1333975542983976,0.805416324133802
129,200,196,171,True,True,171,0.04508522855450583,0.9773259172019289,0.8195972824762334
130,200,194,170,True,True,170,0.04297186871582508,0.9977646223629798,0.673868874661231
131,200,195,176,True,True,176,0.05223775773234768,0.928353347203064,0.8500534503263893
132,200,189,168,True,True,168,0.05080240585006679,1.4827938498295488,0.8639448694804104
133,200,189,162,True,True,162,0.05918660739657813,2.2806704664892723,0.8985000720004179
134,200,181,156,True,True,156,0.062213721270058656,2.308071330819831,0.9197790661934937
135,200,187,167,True,True,167,0.059525894976291904,2.4708824819673607,0.8928699503648801
136,200,186,152,True,True,152,0.0598927946732656,1.5109665824605347,0.8523291669173719
137,200,183,164,True,True,164,0.053655368453782736,1.1478506754035123,0.763176547703239
138,200,189,171,True,True,171,0.0538275024922871,0.9333055869806531,0.8826095895941577
139,200,189,154,True,True,154,0.047340650538140516,1.28156439132138,0.8332753499211899
140,200,193,179,True,True,179,0.05517726303406789,1.6221083321907244,0.7979170423600512
141,200,187,159,True,True,159,0.05298374998017714,2.121249720778878,0.8192204933760859
142,200,185,167,True,True,167,0.056186881282011214,1.8982676198222639,0.7425271036845597
143,200,182,154,True,True,154,0.05862143327343896,1.884569599150293,0.8650062057394229
144,200,185,155,True,True,155,0.05315993364425151,2.1400347051498594,0.8060629329265149
145,200,182,158,True,True,158,0.05877905048040765,1.7022156527363217,0.8187181875391265
146,200,183,167,True,True,167,0.061291775000509245,1.7197988747627608,0.6974276331636922
147,200,176,143,True,True,143,0.05154775909473782,2.142644938779454,0.8231857392374968
148,200,183,162,True,True,162,0.06026440836007628,2.0007569982715836,0.8287068543240057
149,200,174,152,True,True,152,0.04602063075418207,1.4971848160081787,0.8779011357731201
